State,Region,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,Disp_Inc_2015,Disp_Inc_2016,Disp_Inc_2017,Disp_Inc_2018,Disp_Inc_2019,Disp_Inc_2020,mean disp income,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20),% annual change,Gas_Price_2016,Gas_Price_2017,Gas_Price_2018,Gas_Price_2019,Gas_Price_2020,mean gas price,St Dev disposable income,% annual change (16/17),% annual change (17/18),% annual change (18/19),% annual change (19/20)
Alabama,GulfCoast,38571,38806,39088,39071,39257,39443,39561,39858,40512,40840,41104,41627,42213,42532,42831,43229,43760,44009,44284,44501,45168,48641,38884,39530,41021,42701,44139,44559,42390,2116,3.77%,4.10%,3.37%,0.95%,12.72%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Alaska,WestCoast,57544,57704,57647,57514,56357,56223,56254,56571,56694,57006,57659,58303,59301,59849,60863,61353,62174,62653,62972,63398,63873,67507,57602,56351,57416,60342,62799,62406,59863,2900,1.89%,5.10%,4.07%,-0.63%,10.75%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Arizona,WestCoast,39330,39667,39726,40077,40257,40695,41043,41195,41918,42263,42867,43239,44043,44353,44837,45097,45623,45901,46166,46509,46940,50403,39700,40798,42572,44583,46050,46238,44048,2336,4.35%,4.72%,3.29%,0.41%,13.33%,2.4,2.7,3.11,3.09,2.63,2.79,0.31,12.50%,15.19%,-0.64%,-14.89%
Arkansas,GulfCoast,38980,39320,39769,39951,40041,40321,40423,40733,41289,41507,41648,42175,42646,43097,43539,43996,44207,44494,44787,45007,45516,48691,39505,40380,41655,43320,44624,44748,42945,1901,3.16%,4.00%,3.01%,0.28%,10.82%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
California,WestCoast,54806,55655,56202,56675,57321,57686,58306,58876,59474,60114,60826,61805,62471,63396,64207,64810,65761,66430,66639,67603,68338,72764,55835,58047,60555,63721,66608,67023,63191,3875,4.32%,5.23%,4.53%,0.62%,15.46%,2.02,2.3,2.53,2.35,1.92,2.22,0.25,13.86%,10.00%,-7.11%,-18.30%
Colorado,RockyMontain,52153,52345,52277,52272,51869,52123,52665,53283,54327,55106,55949,56960,57787,58540,59352,59932,60759,60879,61431,61528,62254,65816,52262,52485,55586,58903,61149,60833,57791,3701,5.91%,5.97%,3.81%,-0.52%,15.91%,2.78,3.08,3.55,3.68,3.13,3.24,0.37,10.79%,15.26%,3.66%,-14.95%
Connecticut,EastCoast,67617,68096,68565,69167,69719,69910,69923,70039,70667,71538,71995,72685,73802,74357,75625,75642,77126,77111,77132,77709,78213,81606,68361,69898,71721,74857,77270,75914,73932,3045,2.61%,4.37%,3.22%,-1.75%,8.61%,2.14,2.43,2.75,2.66,2.34,2.46,0.25,13.55%,13.17%,-3.27%,-12.03%
Delaware,EastCoast,47472,48131,48063,48393,48108,48649,49056,49485,50155,50351,51136,51484,52259,52713,53315,53403,54233,54377,54527,54757,55300,58989,48015,48825,50782,52923,54474,54287,52258,2420,4.01%,4.22%,2.93%,-0.34%,11.19%,2.26,2.53,2.83,2.65,2.23,2.5,0.26,11.95%,11.86%,-6.36%,-15.85%
Washington DC,EastCoast,74967,75511,75711,75737,77209,77758,77916,78464,78462,78801,79594,80122,80337,80876,81891,81973,82905,83196,83476,83983,85082,88033,75482,77837,79245,81269,83390,82230,80794,2246,1.81%,2.55%,2.61%,-1.39%,5.64%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
Florida,EastCoast,44856,45176,45381,45588,45508,45836,46289,46669,47549,48252,48782,49459,50331,50682,51315,51539,52133,52311,52433,52731,53305,56412,45250,46076,48511,50967,52402,52116,50014,2683,5.28%,5.06%,2.82%,-0.55%,13.11%,2.31,2.64,2.89,2.73,2.35,2.58,0.25,14.29%,9.47%,-5.54%,-13.92%
